word,max dist,sum dist,first-last dist
排斥,0.2885589003562927,1.9644349813461304,0.347542941570282
财产,0.10839051008224487,0.7524077296257019,0.2668426036834717
农作物,0.12999296188354492,0.7668478488922119,0.10908442735671997
预防,0.11068999767303467,0.8487452268600464,0.23538100719451904
参观,0.1250518560409546,0.477877676486969,0.14911413192749023
职工,0.2968541383743286,0.8608902096748352,0.24201124906539917
写下,0.10352218151092529,0.5528031587600708,0.17734259366989136
有名,0.2164367437362671,1.0330927968025208,0.26584917306900024
议长,0.18444979190826416,0.8752745389938354,0.20932120084762573
风气,0.18161773681640625,0.9937356114387512,0.23421728610992432
明明,0.2899456024169922,2.982011377811432,0.24090921878814697
正在,0.04169350862503052,0.327365517616272,0.13407903909683228
解决困难,0.33428168296813965,1.5980218052864075,0.16475164890289307
失望,0.10348337888717651,0.8610684871673584,0.10503613948822021
威信,0.1248893141746521,0.8610954880714417,0.22530460357666016
罢,0.362260639667511,2.0675464868545532,0.4271029829978943
做法,0.158319890499115,0.6953637003898621,0.20525145530700684
召开,0.05289888381958008,0.4023444652557373,0.12506431341171265
多用,0.21575260162353516,2.024866223335266,0.2267467975616455
生命,0.1086995005607605,0.5901970863342285,0.12812024354934692
生病,0.12202483415603638,0.8384131789207458,0.13021469116210938
伸出,0.07341951131820679,0.5731395483016968,0.20531809329986572
表示,0.04664766788482666,0.3408699631690979,0.3750684857368469
宪法,0.2987983226776123,1.3840936422348022,0.22455257177352905
北京,0.2393321990966797,0.9232829809188843,0.21690815687179565
早,0.1548372507095337,0.8564949631690979,0.18596553802490234
开学,0.1888061761856079,1.0583776831626892,0.18495339155197144
波动,0.16306495666503906,1.0437129139900208,0.19761455059051514
灵魂,0.2752301096916199,1.371876060962677,0.2296934723854065
雨季,0.19520175457000732,1.0825397968292236,0.14592862129211426
女士,0.3695569634437561,1.8463965058326721,0.5587358474731445
装卸,0.13851606845855713,0.9559921026229858,0.10049617290496826
那位,0.14070534706115723,1.0937772393226624,0.19253355264663696
山,0.16436660289764404,0.9766112565994263,0.15809065103530884
指战员,0.27910393476486206,1.0240793228149414,0.22022712230682373
夏季,0.16543865203857422,1.296510636806488,0.28016167879104614
朴素,0.362474262714386,1.148326575756073,0.30765342712402344
韩,0.5646762549877167,3.000801146030426,0.5527620017528534
远大,0.12754136323928833,1.0725460648536682,0.27700287103652954
新鲜,0.17016100883483887,0.9610438346862793,0.1885550618171692
不幸,0.120533287525177,0.8936867713928223,0.20134443044662476
各方,0.5701927542686462,2.2171289324760437,0.368253231048584
随意,0.1904590129852295,1.1255413889884949,0.16515177488327026
气氛,0.09038054943084717,0.5565309524536133,0.18266284465789795
超过,0.07472211122512817,0.4150579571723938,0.30096691846847534
良好,0.16408675909042358,0.530877947807312,0.16514861583709717
挑战,0.18853974342346191,1.2372282147407532,0.8513978272676468
地方,0.22621947526931763,0.770574152469635,0.22125375270843506
纯,0.3731374144554138,2.2932928800582886,0.3674149513244629
古,0.3349553942680359,1.8504540920257568,0.2837614417076111
齐,0.22412294149398804,1.9064236879348755,0.250047504901886
县,0.11334574222564697,0.6424819827079773,0.23012679815292358
有益,0.20769810676574707,0.8417177200317383,0.2935711145401001
大道,0.14730209112167358,0.8482260704040527,0.2062995433807373
家务,0.22116678953170776,1.1923478841781616,0.26562821865081787
揭开,0.24904954433441162,1.2747447490692139,0.19880372285842896
出口,0.0910419225692749,0.6049318909645081,0.1437496542930603
松,0.16786247491836548,1.5125601887702942,0.2203350067138672
蒙古,0.21422135829925537,1.3649446964263916,0.37112873792648315
难道,0.11283427476882935,1.0509122610092163,0.19873970746994019
开端,0.554603785276413,1.7017413675785065,0.27965331077575684
泛滥,0.2505190968513489,1.4919652342796326,0.6175316870212555
具体情况,0.13536226749420166,1.042027473449707,0.2293391227722168
第二年,0.18896454572677612,1.377739429473877,0.28080880641937256
登上,0.18285810947418213,0.8817662596702576,0.18792599439620972
财力,0.07282602787017822,0.6343632936477661,0.2117847204208374
出路,0.20048224925994873,1.0160024166107178,0.1738303303718567
树苗,0.07885980606079102,0.625463604927063,0.18852859735488892
突出,0.5504501760005951,1.4475267827510834,0.3451085090637207
现场,0.18224656581878662,0.9349084496498108,0.425095796585083
面对,0.15996277332305908,0.7344857454299927,0.2422148585319519
二十四,0.3848746418952942,1.9930179715156555,0.4587450623512268
民兵,0.19933384656906128,1.3009878396987915,0.21916347742080688
大多,0.2492152452468872,1.637266218662262,0.20632916688919067
异常,0.15202796459197998,1.1169033646583557,0.40120816230773926
方针,0.10369545221328735,0.6394456028938293,0.3463394045829773
四大,0.6411813497543335,3.0654150247573853,0.4834347367286682
山上,0.07029247283935547,0.5507980585098267,0.11180949211120605
煤炭,0.27462857961654663,1.080688238143921,0.2389298677444458
程度,0.07361382246017456,0.38675159215927124,0.14763641357421875
为例,0.22933614253997803,1.5659235715866089,0.3369084596633911
指明,0.19201695919036865,1.1985929012298584,0.5305508673191071
激起,0.07136344909667969,0.6744823455810547,0.3141963481903076
外国人,0.30846357345581055,1.8827414512634277,0.35858291387557983
进攻,0.1383078694343567,1.0041400790214539,0.32650214433670044
屋顶,0.13840562105178833,0.8890690207481384,0.15404784679412842
弟弟,0.07743287086486816,0.7355580925941467,0.14230692386627197
擅自,0.30866241455078125,1.6261078715324402,0.21558237075805664
充足,0.1021043062210083,0.6294838190078735,0.12075549364089966
协商,0.1605534553527832,1.099379301071167,0.25309693813323975
第二届,0.36836063861846924,2.098525643348694,0.35154449939727783
移民,0.4156948924064636,2.09821093082428,0.32218486070632935
