word,max dist,sum dist,first-last dist
发展,0.09627461433410645,0.7838027477264404,0.3752050995826721
中国,0.2205052375793457,2.2765204310417175,0.2696259617805481
新,0.13304179906845093,1.7987604141235352,0.29269587993621826
年,0.25542891025543213,2.5885042548179626,0.4959867000579834
建设,0.12786489725112915,1.3915493488311768,0.5088383555412292
中,0.043661653995513916,0.8274986743927002,0.2395244836807251
国家,0.08144813776016235,1.1403113007545471,0.3627287745475769
月,0.34168392419815063,2.1780481934547424,0.3441397547721863
上,0.04752373695373535,0.7824978232383728,0.20615273714065552
工作,0.053224027156829834,0.9130294919013977,0.20760899782180786
推动,0.10150915384292603,2.6537052989006042,0.46323567628860474
经济,0.08305191993713379,1.5696606040000916,0.39220499992370605
人民,0.04461181163787842,0.9780435562133789,0.15540355443954468
推进,0.6816675066947937,7.4120951890945435,0.5002593398094177
企业,0.18244719505310059,2.797921121120453,0.5399178862571716
合作,0.15856486558914185,2.37074077129364,0.3764891028404236
服务,0.10798513889312744,2.5281187295913696,0.47541189193725586
更,0.05805844068527222,1.2232829332351685,0.2569936513900757
文化,0.1663547158241272,2.918646216392517,0.4323055148124695
实现,0.318493127822876,2.435518741607666,0.4625311493873596
说,0.06442505121231079,1.1043723225593567,0.3118787407875061
坚持,0.1735284924507141,2.7399367690086365,0.4717824459075928
重要,0.08821719884872437,1.3197466135025024,0.2522956132888794
时代,0.15992426872253418,3.5622206926345825,0.5236519873142242
党,0.1742340326309204,3.0268754363059998,0.4545938968658447
全面,0.3667704463005066,5.198752403259277,0.6624689996242523
问题,0.04282647371292114,0.9727197289466858,0.24254846572875977
总书记,0.16495466232299805,4.271831512451172,0.7651678025722504
世界,0.09848445653915405,1.8608814477920532,0.31365615129470825
都,0.0425572395324707,0.9446847438812256,0.16954952478408813
日,0.4258493185043335,5.191921412944794,0.35870522260665894
国际,0.13579005002975464,2.577007532119751,0.30355000495910645
大,0.34493017196655273,2.9016286730766296,0.26620185375213623
好,0.09103024005889893,1.3777239322662354,0.24042505025863647
提升,0.5590372383594513,12.168996900320053,0.9003937616944313
加强,0.08073484897613525,1.2420693039894104,0.25330525636672974
不,0.028967082500457764,0.5956332683563232,0.09894633293151855
不断,0.1317804455757141,1.73475581407547,0.5261349976062775
产业,0.6923879683017731,13.237439751625061,0.9462625458836555
社会,0.27953290939331055,2.5825833082199097,0.3200468420982361
持续,0.48104578256607056,8.727605938911438,0.7248865067958832
全球,0.7969685792922974,16.165687203407288,0.6121025085449219
人,0.06662946939468384,1.2553735375404358,0.2770746946334839
项目,0.3936617374420166,5.085905849933624,0.8103762120008469
提供,0.20055609941482544,2.4049904346466064,0.6084952652454376
我国,0.22765368223190308,2.375864267349243,0.5180675387382507
现代化,0.40818434953689575,4.653949022293091,0.7317162454128265
社会主义,0.1871166229248047,2.0444843769073486,0.6791966557502747
安全,0.19281476736068726,3.8044883012771606,0.30025744438171387
开展,0.09413266181945801,1.9366140961647034,0.48762428760528564
群众,0.0569310188293457,1.260506808757782,0.24677765369415283
技术,0.23952025175094604,2.2833645343780518,0.33141887187957764
全国,0.10604166984558105,1.9347037076950073,0.5082947611808777
历史,0.10394203662872314,1.9746906161308289,0.2721540927886963
下,0.07071834802627563,0.8822053670883179,0.213795006275177
促进,0.2993929982185364,3.0798917412757874,0.4944522976875305
后,0.07392513751983643,1.4099116325378418,0.27349382638931274
北京,0.7842134982347488,4.486870244145393,0.7002683579921722
领域,0.43228912353515625,4.667515456676483,0.8266975432634354
特色,0.655762791633606,7.835484504699707,0.9083348214626312
体系,0.5682965517044067,7.385534942150116,0.6987793147563934
支持,0.11145001649856567,2.017451822757721,0.4406920075416565
保护,0.37877559661865234,4.389720797538757,0.4332559108734131
表示,0.08256399631500244,1.460100769996643,0.5227426290512085
成为,0.09265488386154175,1.4405048489570618,0.2503514289855957
还,0.07280135154724121,1.5415807366371155,0.34597110748291016
保障,0.27544164657592773,4.140350937843323,0.4721848964691162
组织,0.23314064741134644,2.1326993107795715,0.2951263189315796
乡村,0.6265215873718262,9.224898934364319,0.6264950931072235
教育,0.15907227993011475,2.5122154355049133,0.285597562789917
增长,0.2382047176361084,2.2946937680244446,0.6182056367397308
政策,0.21449846029281616,2.298437237739563,0.3795435428619385
加快,0.6573949158191681,4.5555223524570465,0.860424280166626
进行,0.0398402214050293,0.8508995175361633,0.2916872501373291
共同,0.10807162523269653,2.536400616168976,0.25271546840667725
思想,0.06096303462982178,1.9476752877235413,0.3823583722114563
制度,0.10796958208084106,2.5696475505828857,0.2731392979621887
精神,0.0890817642211914,2.7242721915245056,0.20994538068771362
实施,0.5228625237941742,8.299150288105011,0.48911356925964355
治理,0.5813396871089935,7.631955027580261,0.8986685946583748
中心,0.26253318786621094,4.977168917655945,0.5748935341835022
地区,0.143521249294281,1.9532831311225891,0.33783793449401855
活动,0.1270856261253357,2.676767110824585,0.6266065835952759
生活,0.09255272150039673,1.7146928906440735,0.22000455856323242
绿色,0.6132804453372955,7.467806279659271,0.7922863513231277
市场,0.1359845995903015,2.8569345474243164,0.34947675466537476
更加,0.07128483057022095,1.6375216245651245,0.24568378925323486
农业,0.11880743503570557,2.543159246444702,0.3251171112060547
提出,0.14221566915512085,2.205580711364746,0.2407212257385254
战略,0.36452460289001465,5.667001724243164,0.42033326625823975
已,0.06495338678359985,1.5687650442123413,0.23102915287017822
今年,0.11105048656463623,1.7877227663993835,0.4897819757461548
生产,0.10528427362442017,1.5105698704719543,0.41107577085494995
时,0.06789559125900269,1.719265341758728,0.20819979906082153
