model,type,depth,ch_chairman_mrr,ch_chairman_mp1,ch_chairman_mp5,ch_chairman_mp10,ch_premier_mrr,ch_premier_mp1,ch_premier_mp5,ch_premier_mp10,us_president_mrr,us_president_mp1,us_president_mp5,us_president_mp10,us_secretary_mrr,us_secretary_mp1,us_secretary_mp5,us_secretary_mp10,uk_minister_mrr,uk_minister_mp1,uk_minister_mp5,uk_minister_mp10,fr_president_mrr,fr_president_mp1,fr_president_mp5,fr_president_mp10,de_premier_mrr,de_premier_mp1,de_premier_mp5,de_premier_mp10,jp_premier_mrr,jp_premier_mp1,jp_premier_mp5,jp_premier_mp10,kr_president_mrr,kr_president_mp1,kr_president_mp5,kr_president_mp10,total_mrr,total_mp1,total_mp5,total_mp10
compass,sgns,5,0.9330283108268184,0.9149253731343283,0.9522388059701492,0.9611940298507463,0.9193594560744319,0.8840579710144928,0.966183574879227,0.9758454106280193,0.9230241534816173,0.884430176565008,0.9727126805778491,0.9823434991974318,0.7645477109762819,0.693050193050193,0.862934362934363,0.8957528957528957,0.6848396650326795,0.5551470588235294,0.8584558823529411,0.9099264705882353,0.840515873015873,0.7630434782608696,0.9369565217391305,0.9565217391304348,0.8274303929221959,0.740983606557377,0.9344262295081968,0.9573770491803278,0.5293659420289857,0.3760869565217391,0.7326086956521739,0.8195652173913044,0.7645285370465872,0.7057761732851986,0.8483754512635379,0.8790613718411552,0.8099033032185204,0.7393280632411067,0.9023715415019763,0.9306324110671936
compass,sgns,10,0.8181867639528927,0.7806451612903226,0.8725806451612903,0.8983870967741936,0.7917162698412699,0.698943661971831,0.9154929577464789,0.948943661971831,0.848834751540937,0.788659793814433,0.9278350515463918,0.9484536082474226,0.6664641545323362,0.5640495867768595,0.8057851239669421,0.8615702479338843,0.5265264854345314,0.367816091954023,0.735632183908046,0.8390804597701149,0.7431181870338497,0.6457831325301204,0.8722891566265061,0.9156626506024096,0.7120514455782309,0.6017857142857143,0.8732142857142857,0.9125,0.37705935454750605,0.23459715639810427,0.5687203791469194,0.6895734597156398,0.6096138864543769,0.5357873210633947,0.7055214723926381,0.7750511247443763,0.6891400754495991,0.5943800943800944,0.8174603174603174,0.8717288717288717
compass,sgns,15,0.712744651483782,0.6556521739130434,0.7913043478260869,0.8226086956521739,0.724726037851038,0.6211538461538462,0.8634615384615385,0.9153846153846154,0.7959939883913763,0.7220149253731343,0.8917910447761194,0.9440298507462687,0.599894120577977,0.4663677130044843,0.7847533632286996,0.8430493273542601,0.492998217998218,0.35135135135135137,0.683991683991684,0.7588357588357588,0.6449624624624627,0.5432432432432432,0.7837837837837838,0.8486486486486486,0.6400661634516821,0.5146771037181996,0.8062622309197651,0.8864970645792564,0.3243612325882733,0.18112244897959184,0.5153061224489796,0.6581632653061225,0.4734974236608224,0.38344226579520696,0.599128540305011,0.6601307189542484,0.6126382876382876,0.506993006993007,0.7552447552447552,0.8214452214452215
compass,sgns,20,0.6021768707482994,0.5333333333333333,0.6971428571428572,0.7428571428571429,0.6589386602098467,0.5614406779661016,0.788135593220339,0.8728813559322034,0.7950484477592907,0.7188755020080321,0.8855421686746988,0.927710843373494,0.5212659698025555,0.3853658536585366,0.697560975609756,0.7853658536585366,0.4509013861955041,0.3031674208144796,0.6515837104072398,0.7375565610859729,0.6691577138985675,0.5853658536585366,0.7957317073170732,0.8323170731707317,0.5723036007919731,0.47780126849894294,0.7040169133192389,0.7822410147991543,0.30709781209781206,0.17297297297297298,0.4918918918918919,0.6108108108108108,0.36768396686159854,0.28728070175438597,0.4780701754385965,0.5460526315789473,0.55550752510365,0.45495722194262705,0.6912430800201308,0.762455963764469
compass,sgns,25,0.4971147486772487,0.425,0.5958333333333333,0.6625,0.6423620382732532,0.5514018691588785,0.7733644859813084,0.8294392523364486,0.7525649747078315,0.6725274725274726,0.8549450549450549,0.9076923076923077,0.49890873015872983,0.36141304347826086,0.6875,0.7744565217391305,0.446009865934678,0.3007518796992481,0.6416040100250626,0.7368421052631579,0.6614756856806328,0.5371024734982333,0.8515901060070671,0.9187279151943463,0.5018212101354302,0.38073394495412843,0.6720183486238532,0.7293577981651376,0.3101472210233538,0.1691842900302115,0.5105740181268882,0.6102719033232629,0.26796634296634303,0.19656019656019655,0.36363636363636365,0.4201474201474201,0.5116342745629057,0.4050738778923892,0.6596041260105938,0.7293002509060497
compass,sgns,30,0.31125557749981714,0.20506912442396313,0.4539170506912442,0.5529953917050692,0.612130347401665,0.524547803617571,0.7183462532299741,0.7906976744186046,0.7215094775774388,0.6553398058252428,0.8009708737864077,0.837378640776699,0.4228005226480835,0.27134146341463417,0.6463414634146342,0.7317073170731707,0.4355669876445501,0.27146814404432135,0.6454293628808865,0.7562326869806094,0.6178199932455251,0.5106382978723404,0.7702127659574468,0.8553191489361702,0.46997488446855523,0.3620253164556962,0.6329113924050633,0.7164556962025317,0.2700916160647705,0.15436241610738255,0.40939597315436244,0.5503355704697986,0.18177321156773218,0.12876712328767123,0.2465753424657534,0.3178082191780822,0.4487781727517341,0.343701399688958,0.5888024883359253,0.6743390357698289
compass,sgns,35,0.24153709102688695,0.14030612244897958,0.37244897959183676,0.47959183673469385,0.510565202139788,0.43370165745856354,0.6049723756906077,0.6629834254143646,0.713926984126984,0.6293333333333333,0.8213333333333334,0.88,0.36006092672759354,0.2053872053872054,0.5656565656565656,0.7070707070707071,0.4100714532957523,0.2772585669781931,0.5981308411214953,0.6978193146417445,0.606263122532964,0.48677248677248675,0.7407407407407407,0.8253968253968254,0.4532329262156349,0.3371757925072046,0.6167146974063401,0.7089337175792507,0.25518461007591453,0.14492753623188406,0.40217391304347827,0.5217391304347826,0.1313443670150988,0.07926829268292683,0.18902439024390244,0.25609756097560976,0.4056696411389865,0.3023900242466228,0.5403533079321095,0.631104953238656
compass,sgns,40,0.19281688520818963,0.1072463768115942,0.2985507246376812,0.41739130434782606,0.37278428721646395,0.2902208201892745,0.47318611987381703,0.5457413249211357,0.6850592276711679,0.5791044776119403,0.826865671641791,0.8865671641791045,0.2838211600429646,0.13909774436090225,0.48872180451127817,0.6240601503759399,0.36763747165532884,0.2,0.6142857142857143,0.7142857142857143,0.5081131767775603,0.3698630136986301,0.6917808219178082,0.8082191780821918,0.4798289183222958,0.36423841059602646,0.6291390728476821,0.7384105960264901,0.266900567815202,0.16260162601626016,0.3861788617886179,0.5121951219512195,0.07307296017822332,0.0456140350877193,0.10877192982456141,0.14035087719298245,0.35614607328524855,0.25099127676447264,0.49524187153053134,0.5896114195083267
compass,sgns,45,0.10063492063492062,0.06,0.15,0.21333333333333335,0.20547734909048782,0.14963503649635038,0.2773722627737226,0.3284671532846715,0.62758210180624,0.5103448275862069,0.7896551724137931,0.8655172413793103,0.2590277777777781,0.16810344827586207,0.3793103448275862,0.5431034482758621,0.40817527576002166,0.22033898305084745,0.6779661016949152,0.7584745762711864,0.4646436352318706,0.28431372549019607,0.7450980392156863,0.8529411764705882,0.41455337690631805,0.30980392156862746,0.5568627450980392,0.6705882352941176,0.2632048374905519,0.1619047619047619,0.40476190476190477,0.5047619047619047,0.03882493768857405,0.024793388429752067,0.06198347107438017,0.07851239669421488,0.3001808975185903,0.20831387202241944,0.4278374591312471,0.5105091078935077
compass,sgns,50,0.05890550018456994,0.01937984496124031,0.10077519379844961,0.20155038759689922,0.14976031746031748,0.116,0.196,0.248,0.5904793274358493,0.48221343873517786,0.7549407114624506,0.8063241106719368,0.20087782587782588,0.10101010101010101,0.3383838383838384,0.45454545454545453,0.33211465635323517,0.19796954314720813,0.4619289340101523,0.649746192893401,0.3273600668337511,0.14035087719298245,0.5964912280701754,0.6842105263157895,0.3193504099902208,0.2132701421800948,0.4976303317535545,0.5592417061611374,0.3633917904079195,0.2849462365591398,0.46774193548387094,0.5913978494623656,0.009715447154471544,0.0,0.014634146341463415,0.03902439024390244,0.2550161791070883,0.1768595041322314,0.3597796143250689,0.446831955922865
