model,type,240_vs_year,297_vs_year,240_vs_wordcount,297_vs_wordcount
compass,sgns,0.686263103984623,0.7620860152505721,0.757027782344238,0.7434970093197941
compass,cbow,0.7803968183715018,0.6981752424790398,0.7877818384147497,0.7108966982384702
alignment,sgns,0.459654269780852,0.5142578940047294,0.5774352230048432,0.5935456948115174
alignment,cbow,0.5142578940047294,0.4832762174534326,0.7088986962404684,0.6088721405177101
