year,max_month,max_count,min_month,min_count,avg_count,total_count,longest,shortest,avg_length,total_length
2014,8,2675,2,2145,2458.75,29505,27637,2,978.9893238434164,28885080
2015,7,2697,2,2070,2442.75,29313,28689,2,1043.119912666735,30576974
2016,8,2665,2,2120,2452.25,29427,30183,2,1107.716518843239,32596774
2017,7,2505,10,1800,2329.8333333333335,27958,32423,2,1120.7135345875956,31332909
2018,8,2621,12,1891,2342.3333333333335,28108,32215,2,1121.7201152696741,31529309
2019,4,2389,9,1655,2123.5,25482,123486,2,1551.4815948512676,39534854
2020,7,2610,10,1881,2209.6666666666665,26516,117270,2,1494.732199426761,39634319
2021,4,2340,2,1729,2052.25,24627,92869,2,1650.4970966825028,40646792
2022,8,2319,10,1574,2078.1666666666665,24938,55891,2,1473.2647365466357,36740276
2023,8,2567,10,2053,2354.0833333333335,28249,39634,1,1321.2534602994797,37324089
