year,max_month,max_count,min_month,min_count,avg_count,total_count,longest,shortest,avg_length,total_length
2002,2002.01,3241,2002.02,2481,2900.5,34806,28912,2,738.3477848646785,25698933
2003,2003.06,3843,2003.02,2869,3602.0833333333335,43225,24021,8,745.7143782533257,32233504
2004,2004.08,6807,2004.01,3181,4131.833333333333,49582,32809,2,662.7214311645355,32859054
2005,2005.01,3795,2005.10,2652,3248.9166666666665,38987,33347,2,742.4941903711493,28947621
2006,2006.12,4437,2006.10,2717,3323.5,39882,42713,2,779.1634571987363,31074597
2007,2007.01,7070,2007.10,2373,3685.5833333333335,44227,28994,2,788.943767381916,34892616
2008,2008.01,3272,2008.10,2469,2763.8333333333335,33166,31283,2,879.9797382861967,29185408
2009,2009.12,2587,2009.01,1928,2242.5833333333335,26911,30723,3,938.2614172643157,25249553
2010,2010.08,2538,2010.02,1801,2327.9166666666665,27935,29572,2,894.3657061034545,24984106
2011,2011.03,2558,2011.02,1831,2252.0833333333335,27025,32418,2,1000.6828122109158,27043453
2012,2012.12,2425,2012.01,1965,2247.25,26967,31539,2,1029.4034931583046,27759924
2013,2013.08,2585,2013.02,2045,2401.25,28815,28617,2,951.851258025334,27427594
2014,2014.08,2675,2014.02,2145,2458.75,29505,27637,2,978.9893238434164,28885080
2015,2015.07,2697,2015.02,2070,2442.75,29313,28689,2,1043.119912666735,30576974
2016,2016.08,2665,2016.02,2120,2452.25,29427,30183,2,1107.716518843239,32596774
2017,2017.07,2505,2017.10,1800,2329.8333333333335,27958,32423,2,1120.7135345875956,31332909
2018,2018.08,2621,2018.12,1891,2342.3333333333335,28108,32215,2,1121.7201152696741,31529309
2019,2019.04,2389,2019.09,1655,2123.5,25482,123486,2,1551.4815948512676,39534854
2020,2020.07,2610,2020.10,1881,2209.6666666666665,26516,117270,2,1494.732199426761,39634319
2021,2021.04,2340,2021.02,1729,2052.25,24627,92869,2,1650.4970966825028,40646792
2022,2022.08,2319,2022.10,1574,2078.1666666666665,24938,55891,2,1473.2647365466357,36740276
2023,2023.08,2567,2023.10,2053,2354.0833333333335,28249,39634,1,1321.2534602994797,37324089
